name,description,meta_title,meta_description
Колесо зубчатое 1А64.02.942,"Колесо зубчатое 1А64.02.942 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 31 по кинематической схеме
Число зубьев: 34
Модуль: 2.0
Ширина венца: 15 мм

При подборе сверяйте каталожный номер: 1А64.02.942.","Колесо зубч. 1А64.02.942 станка 1М65, z=34, модуль 2","Купить колесо зубчатое 1А64.02.942 для шпиндельной бабки токарного станка 1М65/1А64. Позиция 31 по схеме, число зубьев 34, модуль 2."
Валик 165.02.374,"Валик 165.02.374 — вал шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 165.

При подборе сверяйте каталожный номер: 165.02.374.",Вал 165.02.374 для шпиндельной бабки станка 1М65,Купить вал 165.02.374 для шпиндельной бабки токарного станка 1М65. Запчасть для узла шпиндельная бабка.
Вал 1М63.21.391,"Вал 1М63.21.391 — вал шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1М63.

При подборе сверяйте каталожный номер: 1М63.21.391.",Вал 1М63.21.391 для шпиндельной бабки станка 1М63 ДИП-300,Купить вал 1М63.21.391 для шпиндельной бабки токарного станка 1М63 (ДИП-300). Запчасть для узла шпиндельная бабка.
Вал 1Н983.20.274,"Вал 1Н983.20.274 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 1Н983.20.274.",1Н983.20.274 для 1Н983 — купить | ТД РУССтанкоСбыт,Купить 1Н983.20.274 для станков 1Н983. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1М63.04.153,"Колесо зубчатое 1М63.04.153 — зубчатое колесо суппорта. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в суппорта токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 87 по кинематической схеме
Число зубьев: 20
Ширина венца: 35 мм

При подборе сверяйте каталожный номер: 1М63.04.153.","Колесо зубч. 1М63.04.153 для суппорта станка 1М63 ДИП-300, z=20","Купить колесо зубчатое 1М63.04.153 для суппорта токарного станка 1М63 (ДИП-300). Позиция 87 по схеме, число зубьев 20. Запчасть для узла суппорт."
Пиноль 1М63.03.224,"Пиноль 1М63.03.224 — пиноль задней бабки токарного станка. Обеспечивает поддержку и фиксацию заготовки при обработке длинномерных деталей.

Применяется в задней бабке станков 1М63.

При подборе сверяйте каталожный номер: 1М63.03.224.",1М63.03.224 для 1М63 — купить | ТД РУССтанкоСбыт,Купить 1М63.03.224 для 1М63. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Винт 1Н65.50.150,"Винт 1Н65.50.150 — винт токарного станка. Обеспечивает перемещение узла в соответствии с кинематической схемой.

Применяется на станках 1Н65.

Позиция 159 по кинематической схеме
Число зубьев: 1
Ширина венца: 36 мм

При подборе сверяйте каталожный номер: 1Н65.50.150.","Винт 1Н65.50.150 для каретки станка 1М65, z=1","Купить винт 1Н65.50.150 для каретки токарного станка 1М65/1Н65. Позиция 159 по схеме, число зубьев 1. Запчасть для узла каретка."
Колесо зубчатое 1А64.07.217,"Колесо зубчатое 1А64.07.217 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 61 по кинематической схеме
Число зубьев: 40
Ширина венца: 14 мм

При подборе сверяйте каталожный номер: 1А64.07.217.","Колесо зубч. 1А64.07.217 для коробки подач станка 1М65, z=40","Купить колесо зубчатое 1А64.07.217 для коробки подач токарного станка 1М65/1А64. Позиция 61 по схеме, число зубьев 40. Запчасть для узла коробка подач."
Колесо зубчатое 1Н65.30.158,"Колесо зубчатое 1Н65.30.158 — зубчатое колесо задней бабки. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в задней бабки токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

Позиция 157 по кинематической схеме
Число зубьев: 32
Ширина венца: 15 мм

При подборе сверяйте каталожный номер: 1Н65.30.158.","Колесо зубч. 1Н65.30.158 для бабка задняя станка 1М65, z=32","Купить колесо зубчатое 1Н65.30.158 для бабка задняя токарного станка 1М65/1Н65. Позиция 157 по схеме, число зубьев 32. Запчасть для узла бабка задняя."
Колесо зубчатое 1М63Б.70.223,"Колесо зубчатое 1М63Б.70.223 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1М63Б. Устанавливается в соответствии с кинематической схемой.

Позиция 60 по кинематической схеме
Число зубьев: 40
Модуль: 2.5
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 1М63Б.70.223.","Колесо зубч. 1М63Б.70.223 станка 1М63 ДИП-300, z=40, модуль 2.5","Купить колесо зубчатое 1М63Б.70.223 для коробки подач токарного станка 1М63 (ДИП-300). Позиция 60 по схеме, число зубьев 40, модуль 2.5."
Валик-колесо зубчатое 1Н65.60.168/1,"Валик-колесо зубчатое 1Н65.60.168/1 — зубчатое колесо токарного станка. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в узлах токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

При подборе сверяйте каталожный номер: 1Н65.60.168.",1Н65.60.168 станка 1Н65 — купить | ТД РУССтанкоСбыт,Купить 1Н65.60.168 для станка токарного станка 1Н65. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1М63Б.70.216,"Колесо зубчатое 1М63Б.70.216 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1М63Б. Устанавливается в соответствии с кинематической схемой.

Позиция 50 по кинематической схеме
Число зубьев: 28

При подборе сверяйте каталожный номер: 1М63Б.70.216.","Колесо зубч. 1М63Б.70.216 станка 1М63 ДИП-300, z=28","Купить колесо зубчатое 1М63Б.70.216 для коробки подач токарного станка 1М63 (ДИП-300). Позиция 50 по схеме, число зубьев 28. Запчасть для узла коробка подач."
Колесо зубчатое 1М63.02.275,"Колесо зубчатое 1М63.02.275 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 40 по кинематической схеме
Число зубьев: 25

При подборе сверяйте каталожный номер: 1М63.02.275.","Колесо зубч. 1М63.02.275 станка 1М63 ДИП-300, z=25","Купить колесо зубчатое 1М63.02.275 для шпиндельной бабки токарного станка 1М63 (ДИП-300). Позиция 40 по схеме, число зубьев 25."
"Вал-шестерня 6Р82.4.50А коробки подач станка 6Р82, 6Р12","Вал-шестерня 6Р82.4.50А коробки подач станка 6Р82, 6Р12 — вал коробки подач токарного станка. Обеспечивает передачу движения подач.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 6Р82.4.50А.",6Р82.4.50А для 6Р82 — купить | ТД РУССтанкоСбыт,"Купить 6Р82.4.50А для станков 6Р82, 6Р12. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт."
Рейка 1М63.01.150,"Рейка 1М63.01.150 — рейка токарного станка. Обеспечивает продольное перемещение каретки при ручном управлении.

Применяется на станках 1М63.

Позиция 93 по кинематической схеме
Модуль: 4.0

При подборе сверяйте каталожный номер: 1М63.01.150.","Рейка 1М63.01.150 для фартука станка 1М63 ДИП-300, модуль 4","Купить деталь 1М63.01.150 для фартука токарного станка 1М63 (ДИП-300). Позиция 93 по схеме, модуль 4. Запчасть для узла фартук."
Шарико-винтовая пара (ШВП) СВ141П.11.00,"Шарико-винтовая пара (ШВП) СВ141П.11.00 — шарико-винтовая пара (ШВП). Преобразует вращательное движение двигателя в линейное перемещение рабочего органа станка с высокой точностью.

Применяется на станках с ЧПУ.

При подборе сверяйте каталожный номер: СВ141П.11.00.",ШВП СВ141П.11.00 — купить | ТД РУССтанкоСбыт,Купить ШВП СВ141П.11.00. Точные линейные перемещения для станков с ЧПУ. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1М63Б.08.167,"Колесо зубчатое 1М63Б.08.167 — зубчатое колесо Сменные шестерни. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в Сменные шестерни токарно-винторезных станков 1М63Б. Устанавливается в соответствии с кинематической схемой.

Число зубьев: 73

При подборе сверяйте каталожный номер: 1М63Б.08.167.","Колесо зубч. 1М63Б.08.167 станка 1М63 ДИП-300, z=73",Купить колесо зубчатое 1М63Б.08.167 для сменные  шестерни токарного станка 1М63 (ДИП-300). число зубьев 73. Запчасть для узла сменные  шестерни.
Колесо зубчатое 16М50.70.156,"Колесо зубчатое 16М50.70.156 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 16М50. Устанавливается в соответствии с кинематической схемой.

Позиция 110 по кинематической схеме
Число зубьев: 34
Модуль: 2.5
Ширина венца: 16 мм

При подборе сверяйте каталожный номер: 16М50.70.156.","Колесо зубч. 16М50.70.156 станка 1М65, z=34, модуль 2.5","Купить колесо зубчатое 16М50.70.156 для коробки подач токарного станка 1М65/16М50. Позиция 110 по схеме, число зубьев 34, модуль 2.5."
Вал 1Н65.50.158,"Вал 1Н65.50.158 — вал каретки. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1Н65.

При подборе сверяйте каталожный номер: 1Н65.50.158.",Вал 1Н65.50.158 для каретки станка 1М65,Купить вал 1Н65.50.158 для каретки токарного станка 1М65/1Н65. Запчасть для узла каретка.
Колесо зубчатое 1Н65.08.158,"Колесо зубчатое 1Н65.08.158 — зубчатое колесо коробки подач. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в коробки подач токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

Число зубьев: 88
Ширина венца: 25 мм

При подборе сверяйте каталожный номер: 1Н65.08.158.","Колесо зубч. 1Н65.08.158 для коробки подач станка 1М65, z=88",Купить колесо зубчатое 1Н65.08.158 для коробки подач токарного станка 1М65/1Н65. число зубьев 88. Запчасть для узла коробка подач.
Муфта обгонная 1М65 60 900 (Для станков 1М65 165 ДИП500),"Муфта обгонная 1М65 60 900 (Для станков 1М65 165 ДИП500) — обгонная муфта для отключения автоматической подачи. Обеспечивает автоматическое отключение подачи при перегрузке.

Применяется на станках 1М65, ДИП500, 165.

Подбор по каталогу и чертежам заказчика.",Муфта обгонная 1М65 60 900 (Для станк — купить | ТД РУССтанкоСбыт,Купить Муфта обгонная 1М65 60 900 (Для станков 1М65 165 ДИП500). Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1А64.06.393,"Колесо зубчатое 1А64.06.393 — зубчатое колесо фартука. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в фартука токарно-винторезных станков 1А64. Устанавливается в соответствии с кинематической схемой.

Позиция 128 по кинематической схеме
Число зубьев: 41
Ширина венца: 20 мм

При подборе сверяйте каталожный номер: 1А64.06.393.","Колесо зубч. 1А64.06.393 для фартука станка 1М65, z=41","Купить колесо зубчатое 1А64.06.393 для фартука токарного станка 1М65/1А64. Позиция 128 по схеме, число зубьев 41. Запчасть для узла фартук."
Ось 1М63.08.189,"Ось 1М63.08.189 — запасная часть для токарного станка.

Применяется на станках 1М63.

При подборе сверяйте каталожный номер: 1М63.08.189.",1М63.08.189 для коробки подач станка 1М63 ДИП-300,Купить деталь 1М63.08.189 для коробки подач токарного станка 1М63 (ДИП-300). Запчасть для узла коробка подач.
Колесо зубчатое 1М63.21.235,"Колесо зубчатое 1М63.21.235 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 28 по кинематической схеме
Число зубьев: 24

При подборе сверяйте каталожный номер: 1М63.21.235.","Колесо зубч. 1М63.21.235 станка 1М63 ДИП-300, z=24","Купить колесо зубчатое 1М63.21.235 для шпиндельной бабки токарного станка 1М63 (ДИП-300). Позиция 28 по схеме, число зубьев 24."
Шарико-винтовая пара (ШВП) 2С150ПМФ4.27.040,"Шарико-винтовая пара (ШВП) 2С150ПМФ4.27.040 — шарико-винтовая пара (ШВП). Преобразует вращательное движение двигателя в линейное перемещение рабочего органа станка с высокой точностью.

Применяется на станках с ЧПУ.

При подборе сверяйте каталожный номер: 2С150ПМФ4.27.040.",ШВП 2С150ПМФ4.27.040 — купить | ТД РУССтанкоСбыт,Купить ШВП 2С150ПМФ4.27.040. Точные линейные перемещения для станков с ЧПУ. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал 16К40.20.188,"Вал 16К40.20.188 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 16К40.

При подборе сверяйте каталожный номер: 16К40.20.188.",16К40.20.188 для 16К40 — купить | ТД РУССтанкоСбыт,Купить 16К40.20.188 для станков 16К40. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1Н65.60.151/1,"Колесо зубчатое 1Н65.60.151/1 — зубчатое колесо токарного станка. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в узлах токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

При подборе сверяйте каталожный номер: 1Н65.60.151.",1Н65.60.151 станка 1Н65 — купить | ТД РУССтанкоСбыт,Купить 1Н65.60.151 для станка токарного станка 1Н65. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал 1М63.06.335,"Вал 1М63.06.335 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1М63.

При подборе сверяйте каталожный номер: 1М63.06.335.",1М63.06.335 для 1М63 — купить | ТД РУССтанкоСбыт,Купить 1М63.06.335 для станков 1М63. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Блок зубчатый 1М63Б.60.2811,"Блок зубчатый 1М63Б.60.2811 — блок зубчатых колёс шпиндельной бабки. Применяется для переключения скоростей в коробке скоростей станка.

Устанавливается в шпиндельной бабке токарных станков 1М63Б. Перемещается по шлицевому валу.

При подборе сверяйте каталожный номер: 1М63Б.60.2811.",1М63Б.60.2811 для 1М63Б — купить | ТД РУССтанкоСбыт,Купить 1М63Б.60.2811 для 1М63Б. Подбор по каталогу и чертежам — ТД РУССтанкоСбыт.
Вал 16К30Ф3.30.193,"Вал 16К30Ф3.30.193 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 16К30.

При подборе сверяйте каталожный номер: 16К30Ф3.30.193.",16К30Ф3.30.193 для 16К30 — купить | ТД РУССтанкоСбыт,Купить 16К30Ф3.30.193 для станков 16К30. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Колесо зубчатое 1М63.21.197,"Колесо зубчатое 1М63.21.197 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 12 по кинематической схеме
Число зубьев: 32
Ширина венца: 52 мм

При подборе сверяйте каталожный номер: 1М63.21.197.","Колесо зубч. 1М63.21.197 станка 1М63 ДИП-300, z=32","Купить колесо зубчатое 1М63.21.197 для шпиндельной бабки токарного станка 1М63 (ДИП-300). Позиция 12 по схеме, число зубьев 32."
Винт 165.03.152,"Винт 165.03.152 — винт токарного станка. Обеспечивает перемещение узла в соответствии с кинематической схемой.

Применяется на станках 165.

Позиция 155 по кинематической схеме
Число зубьев: 1
Ширина венца: 60 мм

При подборе сверяйте каталожный номер: 165.03.152.","Винт 165.03.152 для бабка задняя станка 1М65, z=1","Купить винт 165.03.152 для бабка задняя токарного станка 1М65. Позиция 155 по схеме, число зубьев 1. Запчасть для узла бабка задняя."
Вал 6Т83Г.30.251А коробки скоростей станка 6Т83Г,"Вал 6Т83Г.30.251А коробки скоростей станка 6Т83Г — вал шпиндельной бабки токарного станка. Обеспечивает передачу крутящего момента в коробке скоростей.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 6Т83Г.30.251А.",6Т83Г.30.251А для 6Т83Г — купить | ТД РУССтанкоСбыт,Купить 6Т83Г.30.251А для станков 6Т83Г. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал 1М63Н.20.158,"Вал 1М63Н.20.158 — вал шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1М63Н.

При подборе сверяйте каталожный номер: 1М63Н.20.158.",Вал 1М63Н.20.158 для шпиндельной бабки станка 1М63 ДИП-300,Купить вал 1М63Н.20.158 для шпиндельной бабки токарного станка 1М63 (ДИП-300). Запчасть для узла шпиндельная бабка.
Вал 1М63Б.70.239,"Вал 1М63Б.70.239 — вал коробки подач. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1М63Б.

При подборе сверяйте каталожный номер: 1М63Б.70.239.",Вал 1М63Б.70.239 для коробки подач станка 1М63 ДИП-300,Купить вал 1М63Б.70.239 для коробки подач токарного станка 1М63 (ДИП-300). Запчасть для узла коробка подач.
Колесо зубчатое 1Н65.50.152,"Колесо зубчатое 1Н65.50.152 — зубчатое колесо каретки. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в каретки токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

Позиция 158 по кинематической схеме
Число зубьев: 17
Модуль: 3.5
Ширина венца: 29 мм

При подборе сверяйте каталожный номер: 1Н65.50.152.","Колесо зубч. 1Н65.50.152 станка 1М65, z=17, модуль 3.5","Купить колесо зубчатое 1Н65.50.152 для каретки токарного станка 1М65/1Н65. Позиция 158 по схеме, число зубьев 17, модуль 3.5. Запчасть для узла каретка."
Вал-шестерня револьверной головки 1П756ДФ3.40.288,"Вал-шестерня револьверной головки 1П756ДФ3.40.288 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 1П756ДФ3.40.288.",1П756ДФ3.40.288 — купить | ТД РУССтанкоСбыт,Купить 1П756ДФ3.40.288. Вал токарного станка по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал 1Н983.20.294,"Вал 1Н983.20.294 — вал токарного станка. Обеспечивает передачу крутящего момента в узле станка.

Применяется на токарных станках.

При подборе сверяйте каталожный номер: 1Н983.20.294.",1Н983.20.294 для 1Н983 — купить | ТД РУССтанкоСбыт,Купить 1Н983.20.294 для станков 1Н983. Запасная часть по заводской документации. Подбор по каталогу — ТД РУССтанкоСбыт.
Вал ходовой 1Н65.10.152,"Вал ходовой 1Н65.10.152 — ходовой вал токарного станка. Обеспечивает автоматическое продольное перемещение суппорта.

Применяется на станках 1Н65.

При подборе сверяйте каталожный номер: 1Н65.10.152.",Вал 1Н65.10.152 для станина станка 1М65,Купить вал 1Н65.10.152 для станина токарного станка 1М65/1Н65. Запчасть для узла станина.
Колесо зубчатое 1М63.02.262,"Колесо зубчатое 1М63.02.262 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 1М63. Устанавливается в соответствии с кинематической схемой.

Позиция 38 по кинематической схеме
Число зубьев: 50
Модуль: 3.0
Ширина венца: 12 мм

При подборе сверяйте каталожный номер: 1М63.02.262.","Колесо зубч. 1М63.02.262 станка 1М63 ДИП-300, z=50, модуль 3","Купить колесо зубчатое 1М63.02.262 для шпиндельной бабки токарного станка 1М63 (ДИП-300). Позиция 38 по схеме, число зубьев 50, модуль 3."
Колесо зубчатое 1Н65.50.154,"Колесо зубчатое 1Н65.50.154 — зубчатое колесо каретки. Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в каретки токарно-винторезных станков 1Н65. Устанавливается в соответствии с кинематической схемой.

Позиция 166 по кинематической схеме
Число зубьев: 24
Ширина венца: 14 мм

При подборе сверяйте каталожный номер: 1Н65.50.154.","Колесо зубч. 1Н65.50.154 для каретки станка 1М65, z=24","Купить колесо зубчатое 1Н65.50.154 для каретки токарного станка 1М65/1Н65. Позиция 166 по схеме, число зубьев 24. Запчасть для узла каретка."
"Резцедержатель для станков ДИП300, 1М63, 1М63Н, 16К40","Резцедержатель для станков ДИП300, 1М63, 1М63Н, 16К40 — резцедержатель токарного станка для крепления режущего инструмента. Обеспечивает надёжную фиксацию резцов при токарной обработке.

Применяется на станках 1М63, 1М63Н, 16К40, ДИП300.

Подбор по каталогу и чертежам заказчика.","Резцедержатель для станков ДИП300, 1М — купить | ТД РУССтанкоСбыт","Купить Резцедержатель для станков ДИП300, 1М63, 1М63Н, 16К40. Подбор по каталогу — ТД РУССтанкоСбыт."
Валик 1Н65.60.179,"Валик 1Н65.60.179 — вал фартука. Обеспечивает передачу крутящего момента в узле станка.

Применяется на станках 1Н65.

При подборе сверяйте каталожный номер: 1Н65.60.179.",Вал 1Н65.60.179 для фартука станка 1М65,Купить вал 1Н65.60.179 для фартука токарного станка 1М65/1Н65. Запчасть для узла фартук.
Вал-колесо зубчатое 165.02.410,"Вал-колесо зубчатое 165.02.410 — зубчатое колесо шпиндельной бабки (коробки скоростей). Обеспечивает передачу крутящего момента между валами в кинематической цепи.

Применяется в шпиндельной бабки (коробки скоростей) токарно-винторезных станков 165. Устанавливается в соответствии с кинематической схемой.

Позиция 21 по кинематической схеме
Число зубьев: 20
Модуль: 5.0
Ширина венца: 35 мм

При подборе сверяйте каталожный номер: 165.02.410.","Колесо зубч. 165.02.410 станка 1М65, z=20, модуль 5","Купить колесо зубчатое 165.02.410 для шпиндельной бабки токарного станка 1М65. Позиция 21 по схеме, число зубьев 20, модуль 5."
