SKU,Title,Text,Description
KOLZUBPERBABK.164_164_02_177,Валик колесо зубчатое 164_02_177 (Шпиндельная бабка),Запасная часть узла шпиндельной бабки; код 164_02_177.,
KOLZUBPERBABK.165_165_02_410,Валик колесо зубчатое 165_02_410 (Шпиндельная бабка),Запасная часть узла шпиндельной бабки; код 165_02_410.,
VALSPINDEL.BABKI.1M63.21.200,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал I (1-ой оси) 1М63 21.200",,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал I (1-ой оси) 1М63 21.200"
VALSPINDEL.BABKI.1M63.02.294,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал I (1-ой оси) 1М63.02.294",,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал I (1-ой оси) 1М63.02.294"
VALSPINDEL.BABKI.1M63.02.370,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал I (1-ой оси) 1М63.02.370",,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал I (1-ой оси) 1М63.02.370"
VALSPINDEL.BABKI.1M63.21.199,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал I (1-ой оси) 1М63.21.199",,Вал I (1-ой оси)<br />1М63.21.199<br /><br />
VALSPINDEL.BABKI.1M63.02.170,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси) 1М63.02.170",,Вал II (2-ой оси)<br />1М63.02.170<br /><br />
VALSPINDEL.BABKI.1M63.02.171,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси)1М63.02.171",,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси)1М63.02.171"
VALSPINDEL.BABKI.1M63.02.172,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси)1М63.02.172",,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси)1М63.02.172"
VALSPINDEL.BABKI.1M63.02.331,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси)1М63.02.331",,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси)1М63.02.331"
VALSPINDEL.BABKI.1M63.21.228,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси)1М63.21.228",,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал II (2-ой оси)1М63.21.228"
VALSPINDEL.BABKI.1M63.20.187,,,https://static.tildacdn.com/tild3563-6666-4232-b637-363635356662/photo_2025-10-20_17-.jpg
VALSPINDEL.BABKI.1M63.21.215,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси) 1М63.21.215",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси), чертеж 1М63.21.215. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.216,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси) 1М63.21.216",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси), чертеж 1М63.21.216. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.217,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси) 1М63.21.217",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси), чертеж 1М63.21.217. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.368,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси) 1М63.21.368",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси), чертеж 1М63.21.368. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63B.20.185,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси) 1М63Б.20.185",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси), чертеж 1М63Б.20.185. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63B.20.186,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси) 1М63Б.20.186",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал III (3-ой оси), чертеж 1М63Б.20.186. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.02.353,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал IV (4-ой оси) 1М63.02.353",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал IV (4-ой оси), чертеж 1М63.02.353. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.395,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал IV (4-ой оси) 1М63.21.395",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал IV (4-ой оси), чертеж 1М63.21.395. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63B.20.189,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал IV (4-ой оси) 1М63Б.20.189",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал IV (4-ой оси), чертеж 1М63Б.20.189. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.02.210,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал IX (9-ой оси) 1М63.02.210",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал IX (9-ой оси), чертеж 1М63.02.210. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.158,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал V (5-ой оси) 1М63.21.158",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал V (5-ой оси), чертеж 1М63.21.158. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63N.20.187,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал V (5-ой оси) 1М63Н.20.187",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал V (5-ой оси), чертеж 1М63Н.20.187. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63N.20.188,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал V (5-ой оси) 1М63Н.20.188",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал V (5-ой оси), чертеж 1М63Н.20.188. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.UO5.20.159,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал VI (6-ой оси) Уо5.20.159",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал VI (6-ой оси), чертеж Уо5.20.159. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.UO5.20.160,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал VI (6-ой оси) Уо5.20.160",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал VI (6-ой оси), чертеж Уо5.20.160. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.UO5.20.162,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал VI (6-ой оси) Уо5.20.162",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал VI (6-ой оси), чертеж Уо5.20.162. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.UO5.20.163,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал VI (6-ой оси) Уо5.20.163",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал VI (6-ой оси), чертеж Уо5.20.163. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.02.438,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал VII (7-ой оси) 1М63.02.438",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал VII (7-ой оси), чертеж 1М63.02.438. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.235,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал VII (7-ой оси) 1М63.21.235",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал VII (7-ой оси), чертеж 1М63.21.235. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63N.20.157,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал VII (7-ой оси) 1М63Н.20.157",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал VII (7-ой оси), чертеж 1М63Н.20.157. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.237,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал VIII (8-ой оси) 1M63.21.237",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал VIII (8-ой оси), чертеж 1M63.21.237. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.197,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал X (10-ой оси) 1М63.21.197",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал X (10-ой оси), чертеж 1М63.21.197. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.21.364,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал XI (11-ой оси) 1М63.21.364",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал XI (11-ой оси), чертеж 1М63.21.364. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.02.347,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал XII (12-ой оси) 1М63.02.347",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал XII (12-ой оси), чертеж 1М63.02.347. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VALSPINDEL.BABKI.1M63.02.348,"Валы шпиндельной бабки 1М63, 16К40, 16М30 Вал XII (12-ой оси) 1М63.02.348",,"Вал шпиндельной бабки 1М63, 16К40, 16М30 Вал XII (12-ой оси), чертеж 1М63.02.348. Используется в шпиндельной бабке модификаций станка ДИП-300. Нужный вал подбирается по запросу; в ответ высылается кинематическая схема шпиндельной бабки ДИП-300 и её модификаций."
VILKA.1М63Н_20_022,Вилка (рычаг) шпиндельной бабки 1М63Н_20_022,,"Применяется для переключения вместе с валами станка, служит для осуществления работы и взаимодействия механизмов станка и шпиндельной бабки (коробки скоростей). Артикул 1М63Н_20_022."
VILKA.UBB112-SHF-FRK,Вилка переключения передач UBB‑112,Закалённая вилка с направляющими; обеспечивает чёткий перевод шестерён и устойчивую фиксацию ступени.,
VILKA.1М63_02_037,Вилка шпиндельной бабки 1М63_02_037,,"Применяется для переключения вместе с валами станка, служит для осуществления работы и взаимодействия механизмов станка и шпиндельной бабки (коробки скоростей). Артикул 1М63_02_037."
VILKA.1М63_02_072,Вилка шпиндельной бабки 1М63_02_072,,"Применяется для переключения вместе с валами станка, служит для осуществления работы и взаимодействия механизмов станка и шпиндельной бабки (коробки скоростей). Артикул 1М63_02_072."
VILKA.1М63_21_028,Вилка шпиндельной бабки 1М63_21_028,,"Применяется для переключения вместе с валами станка, служит для осуществления работы и взаимодействия механизмов станка и шпиндельной бабки (коробки скоростей). Артикул 1М63_21_028."
VILKA.1М63_21_029,Вилка шпиндельной бабки 1М63_21_029,,"Применяется для переключения вместе с валами станка, служит для осуществления работы и взаимодействия механизмов станка и шпиндельной бабки (коробки скоростей). Артикул 1М63_21_029."
VILKA.1М63_21_030,Вилка шпиндельной бабки 1М63_21_030,,"Применяется для переключения вместе с валами станка, служит для осуществления работы и взаимодействия механизмов станка и шпиндельной бабки (коробки скоростей). Артикул 1М63_21_030."
VILKA.1M63,Вилки шпиндельной бабки 1М63,"<div style=""font-size: 16px;"" data-customstyle=""yes"">Применяется для переключения вместе с#nbsp;валами станка, служит для осуществления работы и#nbsp;взаимодействия механизмов станка и#nbsp;шпиндельной бабки (коробки скоростей).</div>",
VILKA.GS526,Вилки шпиндельной бабки станка ГС526,"<div style=""font-size: 16px;"" data-customstyle=""yes"">Применяется для переключения вместе с#nbsp;валами станка, служит для осуществления работы и#nbsp;взаимодействия механизмов станка и#nbsp;шпиндельной бабки (коробки скоростей).</div>",
VINTPINOLI.TR18x4,Винт пиноли TR18×4,Шлифованный винт пиноли TR18×4; лёгкий ход и точная настройка задней бабки.,
VINTPOP.CROSS.165.TR36x6,"Винт поперечный - кареточный (винт две гайки) для станков 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 и т.д. Винт трап 36х6мм.","Винт поперечный- кареточный (винт две гайки) (Для станков 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 и т.д.) Винт трап 36х6мм. применяется в каретках токарно-винторезных станках мод. 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 для поперечного перемещения верхнего суппорта. Поставляется как отдельно так и в комплекте с двумя бронзовыми гайками <br />Запасные части для станков 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, 1Н983, 1А983, 1М983, РТ983, СА983. Запасные части , оснастка и комплектующие изделия для токарно-винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, и т.д. ВАЛЫ , ВАЛ - РЕЙКИ , ВАЛ - ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико-винтовые пары, передачи) комплектующие и оснастка для токарных патронов, конусные линейки (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.",
VINTPOP.CROSS.165.TR36x6,"Винт поперечный. кареточный (винт две гайки) (Для станков 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 и т.д.) Винт трап 36х6мм.","Винт поперечный. кареточный (винт две гайки) (Для станков 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 и т.д.) Винт трап 36х6мм. применяется в каретках токарно.винторезных станках мод. 1Н65, 1М65, 165, ДИП500, РТ117, РТ817 для поперечного перемещения верхнего суппорта. Поставляется как отдельно так и в комплекте с двумя бронзовыми гайками <br />Запасные части для станков 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, 1Н983, 1А983, 1М983, РТ983, СА983. Запасные части , оснастка и комплектующие изделия для токарно.винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, и т.д. ВАЛЫ , ВАЛ . РЕЙКИ , ВАЛ . ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико.винтовые пары, передачи) комплектующие и оснастка для токарных патронов, конусные линейки (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.",
VINT.HOD.50x10.L2000,Винт ходовой 50×10 L=2000,Длинномерный трапецеидальный винт 50×10 для продольной подачи тяжёлых токарных; повышенная несущая способность.,
VINTSUPP.KOMPL.165,"Винт/гайка суппорта для токарно-винторезных станков мод. 1М65, 1Н65, 165, РТ117, РТ817 ( поворотка)","Винт/гайка суппорта для токарно-винторезных станков мод. 1М65, 1Н65, 165, РТ117, РТ817 ( поворотка) Применяется в верхнем суппорте (поворотке) токарно-винторезного станка мод . 1М65, 1Н65, 165, РТ117, РТ817 для осуществления перемещения верхних салазок станка вместе с резцедержкой, поставляются комплектом (винт+гайка). <br />Запасные части , оснастка и комплектующие изделия для токарно-винторезных станков мод. 1М63, 1М63Н, 163, ДИП300, 1М63БФ101, 16К40 1Н65, 165, 1М65 16Р25П 16К20 1К62 16М30Ф3, 16К30Ф3, 1П756ДФ3, РТ755Ф3, РТ818Ф4, 1Н65Ф4, РТ700, РТ950, РТ117, РТ817 , РТ905, UBB112, UBB112F3, РТ301, РТ30101, и т.д. ВАЛЫ , ВАЛ - РЕЙКИ , ВАЛ - ШЕСТЕРНИ, ВИНТЫ ХОДОВЫЕ И ПОПЕРЕЧНЫХ ПОДАЧ, ГАЙКИ МАТОЧНЫЕ, ДИСКИ ФРИКЦИОННЫЕ, КОЛЁСА ЗУБЧАТЫЕ , КОНИЧЕСКИЕ , ЧЕРВЯЧНЫЕ ПАРЫ, ОБГОННЫЕ МУФТЫ, РЕЗЦЕДЕРЖАТЕЛИ, ФРИЦИОННЫЕ МУФТЫ, ШКИВЫ ГЛАВНОГО ПРИВОДА, ЭЛЕКТРОМУФТЫ Револьверные головки, ШВП (Шарико-винтовые пары, передачи) комплектующие и оснастка для токарных патронов (кулачки, винты, шестерни, венцы, ползушки, сухари) и т.д.",
