name,category,slug,description,meta_title,meta_description,image_file
Валик 165.02.374,1,valik-165-02-374,"Назначение
Валик 165.02.374 — элемент трансмиссионной системы станка 165. Служит для передачи крутящего момента между механизмами привода. Изготавливается из легированной стали с высокой точностью геометрии.

Технические характеристики
• Артикул: 165.02.374
• Материал: Сталь конструкционная легированная (40Х или аналог)
• Термообработка: Закалка ТВЧ, поверхностная обработка
• Точность: высокая, по заводским допускам

Конструкция и особенности
Валик выполнен с шлицевыми участками для надёжной передачи момента. Посадочные поверхности шлифуются для минимального биения.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Высокая точность исполнения
✅ Надёжная передача момента
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При установке обеспечьте соосность с соседними узлами.",Валик 165.02.374 для станка 165,Купить вал 165.02.374 для токарного станка 165. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1М63.21.391,1,val-1m63-21-391,"Назначение
Вал 1М63.21.391 — элемент системы привода токарно-винторезного станка 1М63 (ДИП-300). Обеспечивает передачу крутящего момента в составе коробки подач или других узлов станка. Изготавливается из конструкционной легированной стали с термообработкой.

Технические характеристики
• Артикул: 1М63.21.391
• Материал: Сталь легированная конструкционная (40Х или аналог)
• Термообработка: Закалка и отпуск, ТВЧ обработка
• Точность: по заводским допускам

Конструкция и особенности
Вал выполнен с шлицевыми и цилиндрическими посадочными поверхностями. Высокая шлифовка обеспечивает минимальное биение и соосность.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная система смазки станка

Преимущества
✅ Высокая точность геометрии
✅ Надёжная передача крутящего момента
✅ Износостойкость при интенсивной эксплуатации
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При установке вала обеспечьте соосность с направляющими станка.",Вал 1М63.21.391 для коробки подач станка 1М63 (ДИП-300),Купить вал 1М63.21.391 для коробки подач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Колесо зубчатое 1М63.04.153,1,koleso-zubchatoe-1m63-04-153,"Назначение
Колесо зубчатое 1М63.04.153 — элемент коробки передач станка 1М63 (ДИП-300). Обеспечивает передачу момента между валами с определённым передаточным отношением. Изготавливается из легированной стали с цементацией и закалкой зубьев.

Технические характеристики
• Артикул: 1М63.04.153
• Материал: Сталь легированная (20Х или аналог)
• Термообработка: Цементация, закалка зубьев (HRC 58–62)
• Число зубьев: 153
• Точность: по ГОСТ стандартам

Конструкция и особенности
Зубчатый венец выполнен с эвольвентным профилем для плавности зацепления. Закалённые зубья обеспечивают высокую нагрузочную способность.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная масляная смазка

Преимущества
✅ Плавное зацепление с низким уровнем шума
✅ Высокая нагрузочная способность закалённых зубьев
✅ Износостойкость при работе станка
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При замене проверьте состояние сопряжённого колеса и подшипников.",Колесо зубчатое 1М63.04.153 для коробки передач станка 1М63 (ДИП-300),Купить колесо зубчатое 1М63.04.153 для коробки передач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Пиноль 1М63.03.224,1,pinol-1m63-03-224,"Назначение
Пиноль 1М63.03.224 — скользящий элемент задней бабки токарно-винторезного станка 1М63 (ДИП-300). Служит для центрирования, поддержки и подачи заготовки при обработке. Обеспечивает плавное и надёжное перемещение вдоль оси шпинделя.

Технические характеристики
• Артикул: 1М63.03.224
• Материал: Сталь конструкционная (45 или аналог)
• Термообработка: Закалка и отпуск (HRC 35–40)
• Диаметр: согласно стандартному конусу (Морзе)
• Точность: высокая, по заводским допускам

Конструкция и особенности
Пиноль выполнена с коническим посадочным отверстием под центр или инструмент. Направляющие поверхности отполированы для минимального трения при осевом перемещении.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: регулярная смазка направляющих

Преимущества
✅ Плавное перемещение вдоль оси
✅ Надёжное центрирование заготовок
✅ Высокая точность базирования
✅ Совместимость с оригинальной задней бабкой
✅ Гарантия качества 6 мес

Примечание
Перед использованием очистите конусное отверстие от грязи и стружки. Регулярно смазывайте направляющие поверхности.",Пиноль 1М63.03.224 для задней бабки станка 1М63 (ДИП-300),Купить пиноль 1М63.03.224 для задней бабки токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Винт 1Н65.50.150,1,vint-1n65-50-150,"Назначение
Винт 1Н65.50.150 — ходовой или микрометрический винт станка 1Н65 (ДИП-500). Обеспечивает точное управление перемещением суппорта при работе станка. Изготавливается из высокопрочной стали с прецизионным нарезанием резьбы.

Технические характеристики
• Артикул: 1Н65.50.150
• Материал: Сталь конструкционная легированная
• Резьба: метрическая, точный шаг
• Термообработка: Закалка и отпуск (HRC 40–45)
• Точность нарезания: класс H (высокая точность)

Конструкция и особенности
Винт выполнен с прецизионным нарезанием резьбы. Все поверхности отшлифованы для обеспечения минимального люфта и высокой повторяемости позиционирования.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: регулярная смазка для уменьшения трения

Преимущества
✅ Высокая точность нарезания резьбы
✅ Минимальный люфт при работе
✅ Надёжное управление перемещением
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При установке убедитесь в соосности винта с гайкой. Регулярно смазывайте резьбу.",Винт 1Н65.50.150 для суппорта станка 1Н65 (ДИП-500),Купить винт 1Н65.50.150 для суппорта токарного станка 1Н65 (ДИП-500). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
4-х кулачковые механизированные патроны для обработки заготовок ф. 1250 и 1500мм,1,4-h-kulachkovye-mehanizirovannye-patrony-dlya-obrabotki-zagotovok-f-1250-i-1500mm,"Назначение
4-х кулачковые механизированные патроны — специализированное оборудование для зажима и автоматического управления режимом обработки. Предназначены для обработки крупногабаритных заготовок диаметром 1250 и 1500 мм. Обеспечивают надежное центрирование и равномерное распределение зажимной силы.

Технические характеристики
• Количество кулачков: 4
• Управление: гидравлическое или пневматическое
• Диапазон зажима: до 1500 мм
• Класс точности: ±0.1–0.2 мм
• Материал кулачков: Сталь закаленная (HRC 48–52)
• Тип креплений: универсальные

Конструкция и особенности
Кулачки выполнены из закаленной стали с эвольвентным профилем для равномерного зажима. Механизм включает гидроцилиндр или пневмоуправление с регулировкой давления. Все поверхности отполированы для минимизации следов на заготовке. Корпус патрона изготовлен из высокопрочного чугуна.

Условия эксплуатации
• Рабочая температура: от 0°C до +50°C
• Среда: гидравлическое масло ISO VG 46 или сжатый воздух (давление 6–8 бар)
• Периодичность контроля: проверка герметичности и люфта при ТО
• Особенности: требует регулярной смазки механизмов управления

Преимущества
✅ Равномерное распределение зажимной силы
✅ Высокая точность центрирования
✅ Быстрая смена и закрепление заготовок
✅ Пониженное усилие оператора при управлении
✅ Универсальность для заготовок различных профилей
✅ Гарантия качества 6 мес

Примечание
При использовании проверяйте герметичность гидропроводов. Допускается использование адаптеров для различных диаметров заготовок.",4-х кулачковые механизированные патроны для обработки заготовок ф. 1250 и 1500мм,Купить патрон для токарного станка. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Блок зубчатый 1М63Б.60.2811,1,blok-zubchatyy-1m63b-60-2811,"Назначение
Блок зубчатый 1М63Б.60.2811 — сборный узел из нескольких зубчатых колёс для токарно-винторезного станка 1М63Б. Обеспечивает передачу момента и переключение скоростей.

Технические характеристики
• Артикул: 1М63Б.60.2811
• Материал: Сталь легированная
• Термообработка: Цементация, закалка зубьев
• Точность: по заводским допускам

Конструкция и особенности
Несколько зубчатых колёс на общей втулке. Закалённые зубья.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная смазка

Преимущества
✅ Сборный узел — удобство замены
✅ Надёжность
✅ Гарантия качества 6 мес",Блок зубчатый 1М63Б.60.2811 для коробки скоростей станка 1М63Б,Купить блок зубчатый 1М63Б.60.2811 для коробки скоростей токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 16А20Ф3.025.000.050,1,val-16a20f3-025-000-050-2,"Назначение
Вал 16А20Ф3.025.000.050 — элемент трансмиссии обрабатывающего центра 16А20Ф3. Служит для передачи крутящего момента внутри механизма подачи инструмента или суппорта. Работает в составе коробки передач или коробки подач центра, обеспечивая различные режимы подачи.

Технические характеристики
• Артикул: 16А20Ф3.025.000.050
• Материал: Сталь конструкционная легированная
• Термообработка: Закалка ТВЧ, поверхностная закалка шлицев
• Точность: по заводским допускам чертежа
• Применение: Обрабатывающий центр 16А20Ф3

Конструкция и особенности
Вал изготовлен с высокой точностью и подлежит шлифованию посадочных поверхностей. Шлицевые участки обеспечивают надёжную передачу крутящего момента. Все размеры соответствуют оригинальным чертежам станка.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная система смазки обрабатывающего центра
• Периодичность контроля: проверка при ТО
• Особенности: работает в составе закрытого механизма

Преимущества
✅ Точная геометрия и надёжная передача момента
✅ Высокая износостойкость за счёт термообработки
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При заказе уточняйте точное назначение и место установки вала в вашем центре.",Вал 16А20Ф3.025.000.050 для коробки подач станка 16А20Ф3,Купить вал 16А20Ф3.025.000.050 для коробки подач токарного станка 16А20Ф3. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 16К20Ф.024.000.002,1,val-16k20f-024-000-002,"Назначение
Вал 16К20Ф.024.000.002 — элемент трансмиссии токарного станка с ЧПУ 16К20Ф.

Технические характеристики
• Артикул: 16К20Ф.024.000.002
• Материал: Сталь легированная
• Термообработка: Закалка
• Точность: по заводским допускам

Конструкция и особенности
Шлицевые поверхности.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система ЧПУ

Преимущества
✅ Точность для ЧПУ
✅ Гарантия качества 6 мес",Вал 16К20Ф.024.000.002 для станка 16К20Ф,Купить вал 16К20Ф.024.000.002 для токарного станка 16К20Ф. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 16К30Ф3.30.193,1,val-16k30f3-30-193,"Назначение
Вал 16К30Ф3.30.193 — элемент трансмиссии токарного станка с ЧПУ 16К30Ф3. Передаёт крутящий момент в приводе.

Технические характеристики
• Артикул: 16К30Ф3.30.193
• Материал: Сталь легированная (40Х)
• Термообработка: Закалка, ТВЧ
• Точность: по заводским допускам

Конструкция и особенности
Шлицевые поверхности. Шлифованные посадки.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система ЧПУ

Преимущества
✅ Точность для ЧПУ
✅ Надёжность
✅ Гарантия качества 6 мес",Вал 16К30Ф3.30.193 для станка 16К30Ф3,Купить вал 16К30Ф3.30.193 для токарного станка 16К30Ф3. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 16К30Ф302.40.160,1,val-16k30f302-40-160-2,"Назначение
Вал 16К30Ф302.40.160 — элемент трансмиссионной системы станка 16К30Ф302. Обеспечивает передачу крутящего момента между узлами коробки передач и подач. Изготавливается из конструкционной легированной стали с высокой прочностью.

Технические характеристики
• Артикул: 16К30Ф302.40.160
• Материал: Сталь конструкционная легированная
• Термообработка: Закалка ТВЧ, поверхностное упрочнение
• Точность: по заводским допускам
• Применение: Станок 16К30Ф302

Конструкция и особенности
Вал выполнен с шлицевыми участками для надежной передачи крутящего момента. Все посадочные поверхности шлифуются для обеспечения соосности. Размеры строго соответствуют оригинальным чертежам.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная система смазки станка
• Периодичность контроля: проверка при ТО

Преимущества
✅ Высокая точность изготовления
✅ Надежная передача момента
✅ Замененяемость с оригинальной деталью
✅ Гарантия качества 6 мес

Примечание
При установке обеспечьте соосность с соседними узлами.",Вал 16К30Ф302.40.160 для коробки подач станка 16К30Ф3,Купить вал 16К30Ф302.40.160 для коробки подач токарного станка 16К30Ф3. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 16К40.20.188,1,val-16k40-20-188,"Назначение
Вал 16К40.20.188 — элемент трансмиссии токарного станка с ЧПУ 16К40. Обеспечивает передачу крутящего момента в приводе подач.

Технические характеристики
• Артикул: 16К40.20.188
• Материал: Сталь легированная (40Х или аналог)
• Термообработка: Закалка и отпуск, ТВЧ шлицев
• Точность: по заводским допускам

Конструкция и особенности
Вал с шлицевыми посадочными поверхностями. Поверхности шлифуются для точности.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка
• Периодичность контроля: проверка при ТО

Преимущества
✅ Высокая прочность
✅ Точная геометрия
✅ Совместимость с ЧПУ
✅ Гарантия качества 6 мес",Вал 16К40.20.188 для привода подач станка 16К40,Купить вал 16К40.20.188 для привода подач токарного станка 16К40. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1М63.06.335,1,val-1m63-06-335,"Назначение
Вал 1М63.06.335 — элемент трансмиссии токарно-винторезного станка 1М63. Передаёт крутящий момент в приводе станка.

Технические характеристики
• Артикул: 1М63.06.335
• Материал: Сталь легированная (40Х)
• Термообработка: Закалка, ТВЧ шлицев
• Точность: по заводским допускам

Конструкция и особенности
Шлицевые посадочные поверхности. Шлифованные поверхности.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Прочность
✅ Точность
✅ Гарантия качества 6 мес",Вал 1М63.06.335 для станка 1М63 (ДИП-300),Купить вал 1М63.06.335 для токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1М63.21.391,1,val-1m63-21-391-2,"Назначение
Вал 1М63.21.391 — элемент системы привода токарно-винторезного станка 1М63 (ДИП-300). Обеспечивает передачу крутящего момента в составе коробки подач или других узлов станка. Изготавливается из конструкционной легированной стали с термообработкой.

Технические характеристики
• Артикул: 1М63.21.391
• Материал: Сталь легированная конструкционная (40Х или аналог)
• Термообработка: Закалка и отпуск, ТВЧ обработка
• Точность: по заводским допускам

Конструкция и особенности
Вал выполнен с шлицевыми и цилиндрическими посадочными поверхностями. Высокая шлифовка обеспечивает минимальное биение и соосность.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная система смазки станка

Преимущества
✅ Высокая точность геометрии
✅ Надёжная передача крутящего момента
✅ Износостойкость при интенсивной эксплуатации
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При установке вала обеспечьте соосность с направляющими станка.",Вал 1М63.21.391 для коробки подач станка 1М63 (ДИП-300),Купить вал 1М63.21.391 для коробки подач токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1М63Б.60.292,1,val-1m63b-60-292,"Назначение
Вал 1М63Б.60.292 — элемент трансмиссии станка 1М63Б.

Технические характеристики
• Артикул: 1М63Б.60.292
• Материал: Сталь легированная
• Термообработка: Закалка
• Точность: по заводским допускам

Конструкция и особенности
Шлицевые поверхности.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Надёжность
✅ Гарантия качества 6 мес",Вал 1М63Б.60.292 для станка 1М63Б,Купить вал 1М63Б.60.292 для токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1М63Б.70.239,1,val-1m63b-70-239,"Назначение
Вал 1М63Б.70.239 — элемент трансмиссии токарно-винторезного станка 1М63Б. Передаёт крутящий момент в приводе.

Технические характеристики
• Артикул: 1М63Б.70.239
• Материал: Сталь легированная (40Х)
• Термообработка: Закалка, ТВЧ
• Точность: по заводским допускам

Конструкция и особенности
Шлицевые посадочные поверхности. Шлифованные поверхности для точности.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная система смазки станка
• Периодичность контроля: проверка биения при ТО

Преимущества
✅ Высокая прочность
✅ Точная геометрия
✅ Износостойкость
✅ Гарантия качества 6 мес",Вал 1М63Б.70.239 для станка 1М63Б,Купить вал 1М63Б.70.239 для токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1М63Б.71.150,1,val-1m63b-71-150,"Назначение
Вал 1М63Б.71.150 — элемент трансмиссии станка 1М63Б.

Технические характеристики
• Артикул: 1М63Б.71.150
• Материал: Сталь легированная
• Термообработка: Закалка
• Точность: по заводским допускам

Конструкция и особенности
Шлицевые поверхности.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Надёжность
✅ Гарантия качества 6 мес",Вал 1М63Б.71.150 для станка 1М63Б,Купить вал 1М63Б.71.150 для токарного станка 1М63Б. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1М63Н.20.158,1,val-1m63n-20-158,"Назначение
Вал 1М63Н.20.158 — элемент трансмиссии токарно-винторезного станка 1М63Н. Передаёт крутящий момент.

Технические характеристики
• Артикул: 1М63Н.20.158
• Материал: Сталь легированная (40Х)
• Термообработка: Закалка, ТВЧ шлицев
• Точность: по заводским допускам

Конструкция и особенности
Шлицевые поверхности. Шлифованные посадки.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Прочность
✅ Точность
✅ Гарантия качества 6 мес",Вал 1М63Н.20.158 для станка 1М63Н (ДИП-300),Купить вал 1М63Н.20.158 для токарного станка 1М63Н (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1Н65.50.158,1,val-1n65-50-158,"Назначение
Вал 1Н65.50.158 — элемент трансмиссии токарно-винторезного станка 1Н65 (ДИП-500). Обеспечивает передачу крутящего момента в приводе станка. Изготавливается из конструкционной легированной стали с термообработкой.

Технические характеристики
• Артикул: 1Н65.50.158
• Материал: Сталь легированная (40Х или аналог)
• Термообработка: Закалка и отпуск, ТВЧ шлицев
• Точность: по заводским допускам

Конструкция и особенности
Вал выполнен с шлицевыми посадочными поверхностями для надёжной передачи момента. Поверхности шлифуются для обеспечения соосности.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка
• Периодичность контроля: проверка при ТО

Преимущества
✅ Высокая прочность
✅ Износостойкость
✅ Точная геометрия
✅ Гарантия качества 6 мес

Примечание
При установке обеспечьте соосность с соседними узлами.",Вал 1Н65.50.158 для станка 1Н65 (ДИП-500),Купить вал 1Н65.50.158 для токарного станка 1Н65 (ДИП-500). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1Н983.20.189,1,val-1n983-20-189,"Назначение
Вал 1Н983.20.189 — элемент трансмиссии токарно-карусельного станка 1Н983.

Технические характеристики
• Артикул: 1Н983.20.189
• Материал: Сталь легированная
• Термообработка: Закалка, ТВЧ
• Точность: по заводским допускам

Конструкция и особенности
Шлицевые поверхности.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: система смазки станка

Преимущества
✅ Надёжность
✅ Гарантия качества 6 мес",Вал 1Н983.20.189 для станка 1Н983,Купить вал 1Н983.20.189 для токарного станка 1Н983. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1Н983.20.274,1,val-1n983-20-274-2,"Назначение
Вал 1Н983.20.274 — элемент механизма подачи токарно-карусельного трубонарезного станка 1Н983. Обеспечивает передачу крутящего момента в системе привода. Изготавливается из конструкционной легированной стали.

Технические характеристики
• Артикул: 1Н983.20.274
• Материал: Сталь конструкционная легированная
• Термообработка: Закалка и отпуск (HRC 40–45)
• Точность: по заводским допускам

Конструкция и особенности
Вал выполнен с высокой точностью геометрии. Все посадочные поверхности шлифуются для обеспечения соосности и минимального биения.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: принудительная система смазки станка
• Периодичность контроля: проверка при плановом ТО

Преимущества
✅ Высокая точность изготовления
✅ Надежная передача момента
✅ Совместимость с оригинальным узлом
✅ Гарантия качества 6 мес

Примечание
При установке вала обеспечьте соосность с направляющими станка.",Вал 1Н983.20.274 для коробки подач станка 1Н983,Купить вал 1Н983.20.274 для коробки подач токарного станка 1Н983. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1Н983.20.274,1,val-1n983-20-274-3,"Назначение
Вал 1Н983.20.274 — деталь трансмиссионного узла коробки подач токарно-карусельного трубонарезного станка 1Н983. Обеспечивает передачу крутящего момента между элементами привода, задавая режимы продольной и поперечной подачи суппорта. Изготавливается из конструкционной легированной стали с последующей термообработкой для обеспечения высокой прочности и износостойкости шлицевых и посадочных поверхностей.

Технические характеристики
• Артикул: 1Н983.20.274
• Материал: Сталь легированная конструкционная (40Х или аналог)
• Термообработка: Закалка ТВЧ шлицев и посадочных шеек, термоулучшение
• Поверхности: Шлицевые и цилиндрические посадочные поверхности
• Точность изготовления: по заводским допускам чертежа
• Длина: по чертежу завода-изготовителя

Конструкция и особенности
Вал выполнен с шлицевыми и цилиндрическими участками для обеспечения надёжной передачи крутящего момента и точного базирования зубчатых колёс. Все посадочные поверхности шлифуются для обеспечения соосности и минимального биения в сборке. Материал и термообработка подобраны для работы в условиях высоких нагрузок и частых реверсов привода подачи станка. Изготовление ведётся по заводским чертежам с соблюдением всех допусков и посадок.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Требования к смазке: принудительная смазка в составе коробки подач
• Периодичность контроля: проверка биения и состояния шлицев при ТО
• Особенности: монтаж и демонтаж только с применением съёмников и прессового оборудования

Преимущества
✅ Изготовлен по заводским чертежам для станков 1Н983, 1А983
✅ Легированная сталь с термообработкой — высокая износостойкость
✅ Шлифованные посадочные поверхности — точное базирование
✅ Полная взаимозаменяемость с оригинальной деталью
✅ Контроль качества на всех этапах производства
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе рекомендуется уточнить полное обозначение по чертежу. При замене вала рекомендуется одновременная проверка состояния сопряжённых зубчатых колёс и подшипников коробки подач.",Вал 1Н983.20.274 для коробки подач станка 1Н983,Купить вал 1Н983.20.274 для коробки подач токарного станка 1Н983. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 1Н983.20.294,1,val-1n983-20-294,"Назначение
Вал 1Н983.20.294 — элемент трансмиссионного узла токарно-карусельного трубонарезного станка 1Н983. Обеспечивает передачу крутящего момента в механизме подач.

Технические характеристики
• Артикул: 1Н983.20.294
• Материал: Сталь легированная конструкционная (40Х или аналог)
• Термообработка: Закалка ТВЧ шлицев и посадочных шеек
• Поверхности: Шлицевые и цилиндрические посадочные
• Точность: по заводским допускам

Конструкция и особенности
Вал выполнен с шлицевыми участками для надёжной передачи крутящего момента. Посадочные поверхности шлифуются для обеспечения соосности и минимального биения.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Требования к смазке: принудительная смазка
• Периодичность контроля: проверка биения при ТО

Преимущества
✅ Изготовлен по заводским чертежам
✅ Легированная сталь с термообработкой
✅ Шлифованные посадочные поверхности
✅ Полная взаимозаменяемость
✅ Гарантия качества 6 мес",Вал 1Н983.20.294 для коробки подач станка 1Н983,Купить вал 1Н983.20.294 для коробки подач токарного станка 1Н983. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Вал 2825П.24.210 коробки подач,1,val-2825p-24-210-korobki-podach-2,"Назначение
Вал 2825П.24.210 — элемент трансмиссионной системы коробки подач токарно-карусельного станка 2825П. Обеспечивает передачу крутящего момента между валами привода, задавая режимы продольной и поперечной подачи суппорта во время механической обработки. Изготавливается из конструкционной легированной стали с последующей термообработкой для обеспечения высокой прочности и износостойкости.

Технические характеристики
• Артикул: 2825П.24.210
• Материал: Сталь конструкционная легированная (40Х или аналог)
• Термообработка: Закалка и отпуск, поверхностная закалка ТВЧ шлицев
• Поверхности: Шлицевые и цилиндрические посадочные поверхности
• Точность изготовления: по заводским допускам чертежа
• Применение: Коробка подач станка 2825П

Конструкция и особенности
Вал выполнен с шлицевыми участками для обеспечения надёжной передачи крутящего момента и точного базирования зубчатых колёс. Все посадочные поверхности шлифуются для обеспечения соосности и минимального биения в сборке. Материал и термообработка подобраны для работы в условиях высоких нагрузок и частых реверсов привода подачи. Изготовление ведётся по оригинальным чертежам с соблюдением всех допусков и посадок.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Требования к смазке: принудительная смазка в составе коробки подач
• Периодичность контроля: проверка биения и состояния шлицев при ТО
• Особенности: монтаж только с применением съёмников и прессового оборудования

Преимущества
✅ Изготовлен по оригинальным чертежам для станка 2825П
✅ Легированная сталь с термообработкой — высокая износостойкость
✅ Шлифованные посадочные поверхности — точное базирование
✅ Полная взаимозаменяемость с оригинальной деталью
✅ Контроль качества на всех этапах производства
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе рекомендуется уточнить полное обозначение по чертежу. Рекомендуется проверка состояния сопряжённых зубчатых колёс и подшипников при замене.",Вал 2825П.24.210 коробки подач для коробки подач станка 2825П,Купить вал 2825П.24.210 для коробки подач токарного станка 2825П. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
