"name","slug","specs","meta_title","meta_description","compatible_products"
"Колесо зубчатое 1А64.02.942","koleso-zubcatoe-1a64-02-942","[{""key"":""Применимость: "",""value"":""Шпиндельная  бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""31""},{""key"":""Число зубьев, z"",""value"":""34""},{""key"":""Модуль, m"",""value"":""2""},{""key"":""Ширина обода, мм"",""value"":""15""}]","Колесо зубчатое 1А64.02.942 для шпиндельной бабки 1Н65, z=34","Купить колесо зубчатое 1А64.02.942 для шпиндельной бабки станка 1Н65 (ДИП-500), РТ817, РТ117. Позиция 31, z=34, модуль 2. ТД РУССтанкоСбыт","[{""spare_part_id"":""053dabcc-a545-4614-885f-a2697d1055fa""},{""spare_part_id"":""053dabcc-a545-4614-885f-a2697d1055fa""},{""spare_part_id"":""053dabcc-a545-4614-885f-a2697d1055fa""}]"
"Поставка и изготовление патронов для станков — токарные и специальные патроны","postavka-j-jzgotovlenje-patronov-dla-stankov-tokarnye-j-specjalenye-patrony","[]","Поставка и изготовление патронов для станков — токарные и специальные патроны","Поставка и изготовление патронов для токарных, сверлильных и других станков. Трёхкулачковые, четырёхкулачковые, цанговые, мембранные, специальные патроны. Единичные и серийные партии. ТД РУССтанкоСбыт.","[]"
"Валик 165.02.374","valjk-165-02-374","[{""key"":""Применимость: "",""value"":""Шпиндельная бабка ""},{""key"":""Позиция на кинематической схеме, №"",""value"":""B7""}]","Валик 165.02.374 для шпиндельной бабки станка 1Н65 (165)","Купить валик 165.02.374 для шпиндельной бабки токарного станка 1Н65 (ДИП-500), РТ117, РТ817. Позиция B7 по схеме. ТД РУССтанкоСбыт.
​","[{""spare_part_id"":""06ebfbd8-177a-4966-8d1b-587b8fba233d""},{""spare_part_id"":""06ebfbd8-177a-4966-8d1b-587b8fba233d""},{""spare_part_id"":""06ebfbd8-177a-4966-8d1b-587b8fba233d""}]"
"Вал фрикционный 1М63.21.391","val-1m63-21-391","[{""key"":""Применимость: "",""value"":""Коробка скоростей""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В1""},{""key"":""Длина вала, мм"",""value"":""670""},{""key"":""Посадка шлицевая, мм"",""value"":""8х36х42х7""}]","Вал фрикционный 1М63.21.391 для коробки скоростей станка 1М63","Купить фрикционный вал 1М63.21.391 для коробки скоростей станка 1М63 (ДИП-300). Позиция B1, длина 670 мм. ТД РУССтанкоСбыт.

","[{""spare_part_id"":""0700e9f9-a39f-4c19-a081-14b3ff8970eb""},{""spare_part_id"":""0700e9f9-a39f-4c19-a081-14b3ff8970eb""},{""spare_part_id"":""0700e9f9-a39f-4c19-a081-14b3ff8970eb""},{""spare_part_id"":""0700e9f9-a39f-4c19-a081-14b3ff8970eb""}]"
"Вал 1Н983.20.274","val-1n983-20-274","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""}]","Вал 1Н983.20.274 для шпиндельной бабки станка 1Н983","Купить вал 1Н983.20.274 для шпиндельной бабки трубонарезного станка 1Н983, 1А983. Каталожная запчасть. ТД РУССтанкоСбыт.","[{""spare_part_id"":""0717eff5-9c23-4519-a0d2-53b8546a669b""}]"
"Колесо зубчатое 1М63.04.153","koleso-zubcatoe-1m63-04-153","[{""key"":""Применимость: "",""value"":""Суппорт""},{""key"":""Позиция на кинематической схеме, №"",""value"":""87""},{""key"":""Число зубьев, z"",""value"":""20""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""35""}]","Колесо зубчатое 1М63.04.153 для каретки станка 1М63 ДИП-300, z=20, модуль 3"," Купить колесо зубчатое 1М63.04.153 для каретки токарного станка 1М63 (ДИП-300). Позиция 112, z=20, модуль 3. ТД РУССтанкоСбыт. ","[{""spare_part_id"":""073d86fa-f6de-4a1a-add6-8260b888fcc1""},{""spare_part_id"":""073d86fa-f6de-4a1a-add6-8260b888fcc1""},{""spare_part_id"":""073d86fa-f6de-4a1a-add6-8260b888fcc1""}]"
"Поставка подшипников для станков — шариковые, роликовые и упорные подшипники","postavka-podsjpnjkov-dla-stankov-sarjkovye-roljkovye-j-upornye-podsjpnjkj","[]","Поставка подшипников для станков — шариковые, роликовые и упорные подшипники","Поставка и подбор подшипников для токарных, фрезерных и других станков. Шариковые, роликовые, конические, упорные подшипники качения и скольжения. Единичные и серийные партии. ТД РУССтанкоСбыт.","[]"
"Пиноль 1М63.03.224 ","pjnole-1m63-03-224","[{""key"":""Применимость:"",""value"":""Задняя бабка""},{""key"":""Диаметр пиноли, мм"",""value"":""100-120""},{""key"":""Длина пиноли, мм"",""value"":""475 / 536""},{""key"":""Конус Морзе"",""value"":""5/6""}]","Пиноль 1М63.03.224 для задней бабки станка 1М63 (ДИП 300)","Купить пиноль 1М63.03.224 для задней бабки станка 1М63 (ДИП-300). Диаметр 100–105 мм, длина 475 мм, конус Морзе 5. ТД РУССтанкоСбыт.","[{""spare_part_id"":""08ab07fc-3ecc-4713-859b-a0d7fe2429fe""},{""spare_part_id"":""08ab07fc-3ecc-4713-859b-a0d7fe2429fe""},{""spare_part_id"":""08ab07fc-3ecc-4713-859b-a0d7fe2429fe""}]"
"Винт 1Н65.50.150","vjnt-1n65-50-150","[{""key"":""Применимость:"",""value"":""Каретка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""159""},{""key"":""Число заходов"",""value"":""1""},{""key"":""Шаг левой резьбы, мм"",""value"":""6""},{""key"":""Диаметр резьбы, мм"",""value"":""36""},{""key"":""Длина, мм"",""value"":""1558""}]","Винт поперечной подачи 1Н65.50.150 для каретки станка 1Н65","Купить винт поперечной подачи 1Н65.50.150 для каретки станка 1Н65 (ДИП-500), РТ817. Позиция 159, d=36 мм, шаг 6 мм. ТД РУССтанкоСбыт.","[{""spare_part_id"":""08c8a616-06aa-445a-867d-40c5de547811""},{""spare_part_id"":""08c8a616-06aa-445a-867d-40c5de547811""},{""spare_part_id"":""08c8a616-06aa-445a-867d-40c5de547811""}]"
"Колесо зубчатое 1А64.07.217","koleso-zubcatoe-1a64-07-217","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""61""},{""key"":""Число зубьев, z"",""value"":""40""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1А64.07.217 для коробки подач станка 1Н65, z=40","Купить колесо зубчатое 1А64.07.217 для коробки подач станка 1Н65 (ДИП-500), РТ817, РТ117. Позиция 61, z=40, модуль 2,5. ТД РУССтанкоСбыт.","[{""spare_part_id"":""08eca176-8ee6-45c9-a0b7-dddb7acfea42""},{""spare_part_id"":""08eca176-8ee6-45c9-a0b7-dddb7acfea42""},{""spare_part_id"":""08eca176-8ee6-45c9-a0b7-dddb7acfea42""}]"
"Колесо зубчатое 1Н65.30.158","koleso-zubcatoe-1n65-30-158","[{""key"":""Применимость:"",""value"":""Бабка задняя""},{""key"":""Позиция на кинематическом снимке, №"",""value"":""157""},{""key"":""Число зубьев, z"",""value"":""32""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""15""}]","Колесо зубчатое 1Н65.30.158 для задней бабки станка 1Н65, z=32","Купить колесо зубчатое 1Н65.30.158 для задней бабки станка 1Н65 (ДИП-500), РТ817, РТ117. Позиция 157, z=32, модуль 2,5. ТД РУССтанкоСбыт.
​
","[{""spare_part_id"":""0913320c-bb32-4951-bb81-600037d0d6a7""},{""spare_part_id"":""0913320c-bb32-4951-bb81-600037d0d6a7""},{""spare_part_id"":""0913320c-bb32-4951-bb81-600037d0d6a7""}]"
"Колесо зубчатое 1М63Б.70.223","koleso-zubcatoe-1m63b-70-223","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""60""},{""key"":""Число зубьев, z"",""value"":""40""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 1М63Б.70.223 для коробки подач станка 1М63Б, z=40","Купить колесо зубчатое 1М63Б.70.223 для коробки подач станка 1М63Б. Позиция 68 по схеме, z=40, модуль 2,5. ТД РУССтанкоСбыт.","[{""spare_part_id"":""09b20c18-3cde-450c-acc8-45545edfdd04""},{""spare_part_id"":""09b20c18-3cde-450c-acc8-45545edfdd04""},{""spare_part_id"":""09b20c18-3cde-450c-acc8-45545edfdd04""}]"
"Валик-колесо зубчатое 1Н65.60.168/1","valjk-koleso-zubcatoe-1n65-60-168-1","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""124""},{""key"":""Число зубьев, z"",""value"":""12""},{""key"":""Модуль, m"",""value"":""5""},{""key"":""Ширина обода, мм"",""value"":""58""}]","Валик-колесо зубчатое 1Н65.60.168 для фартука станка 1Н65, z=12","Купить валик-колесо зубчатое 1Н65.60.168/1 для фартука станка 1Н65 (ДИП-500), РТ817, РТ117. Позиция 124, z=12, модуль 5. ТД РУССтанкоСбыт.","[{""spare_part_id"":""09d87ce4-2397-49ed-a033-635c77184e45""},{""spare_part_id"":""09d87ce4-2397-49ed-a033-635c77184e45""},{""spare_part_id"":""09d87ce4-2397-49ed-a033-635c77184e45""}]"
"Колесо зубчатое 1М63Б.70.216","koleso-zubcatoe-1m63b-70-216","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""50""},{""key"":""Число зубьев, z"",""value"":""28""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм "",""value"":""14""}]","Колесо зубчатое 1М63Б.70.216 для коробки подач станка 1М63Б, z=28","Купить колесо зубчатое 1М63Б.70.216 для коробки подач станка 1М63Б. Позиция 50 по схеме, z=28, модуль 3. ТД РУССтанкоСбыт.","[{""spare_part_id"":""0a5ee480-7e18-4146-b450-3c84c7c1f11e""},{""spare_part_id"":""0a5ee480-7e18-4146-b450-3c84c7c1f11e""},{""spare_part_id"":""0a5ee480-7e18-4146-b450-3c84c7c1f11e""}]"
"Колесо зубчатое 1М63.02.275","koleso-zubcatoe-1m63-02-275","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""40""},{""key"":""Число зубьев, z"",""value"":""25""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""12""}]","Колесо зубчатое 1М63.02.275 для шпиндельной бабки станка 1М63 , z = 25, m = 3","Купить колесо зубчатое 1М63.02.275 для шпиндельной бабки (коробки скоростей) станка 1М63 (ДИП-300). Позиция 40, z = 25, m = 3. ТД РУССтанкоСбыт.","[{""spare_part_id"":""0b552a76-32d4-4337-ae3d-60d248918032""},{""spare_part_id"":""0b552a76-32d4-4337-ae3d-60d248918032""},{""spare_part_id"":""0b552a76-32d4-4337-ae3d-60d248918032""}]"
"Вал фрикционной муфты 6Колесо зубчатое 1М63.21.368Р82.4.50А коробки подач станка 6Р82, 6Р12","val-sesterna-6r82-4-50a-korobkj-podac-stanka-6r82-6r12","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Совместимость:"",""value"":""6Р82, 6Р82Г, 6Р12, 6Р13""},{""key"":""Материал:"",""value"":""Сталь 40Х с закалкой ТВЧ""}]","Вал фрикционной муфты 6Р82.4.50А для коробки подач станка 6Р82","Купить вал фрикционной муфты 6Р82.4.50А для коробки подач станка 6Р82, 6Р12, 6Р13, 6Р83. Запчасть ТД РУССтанкоСбыт.","[]"
"Рейка 1М63.01.150","reika-1m63-01-150","[{""key"":""Применимость:"",""value"":""Станина""},{""key"":""Позиция на кинематической схеме, №"",""value"":""93""},{""key"":""Модуль, m"",""value"":""4""},{""key"":""Длина, мм"",""value"":""715""},{""key"":""Комплект, шт"",""value"":""3""}]","Рейка 1М63.01.150 зубчатая для станины станка 1М63 (L=715 мм)","Купить рейку 1М63.01.150 для станины станка 1М63 (ДИП-300, 16К40). Длина 715 мм, модуль 4, комплект 3 шт. ТД РУССтанкоСбыт.","[{""spare_part_id"":""0d779a12-00ed-4c04-85fa-8d7e3ef1f279""},{""spare_part_id"":""0d779a12-00ed-4c04-85fa-8d7e3ef1f279""},{""spare_part_id"":""0d779a12-00ed-4c04-85fa-8d7e3ef1f279""}]"
"Шарико-винтовая пара (ШВП) СВ141П.11.00","sarjko-vjntovaa-para-svp-sv141p-11-00","[{""key"":""Устанавливается на станке:"",""value"":""СВ141П""},{""key"":""Общая длина, мм"",""value"":""780""},{""key"":""Длина резьбы, мм"",""value"":""470""},{""key"":""Диаметр резьбы, мм"",""value"":""50""},{""key"":""Шаг резьбы, мм"",""value"":""10""}]","ШВП СВ141П.11.000 для привода подачи (ось Z) станка СВ141П","Купить ШВП СВ141П.11.000 для продольной подачи (ось Z) токарного станка с ЧПУ СВ141П. Диаметр 50 мм, шаг 10 мм. ТД РУССтанкоСбыт.","[]"
"Колесо зубчатое 1М63Б.08.167","koleso-zubcatoe-1m63b-08-167","[{""key"":""Применимость: "",""value"":""Гитара""},{""key"":""Позиция на кинематической схеме, №"",""value"":""e""},{""key"":""Число зубьев, z"",""value"":""73""},{""key"":""Модуль, m"",""value"":""2""},{""key"":""Ширина обода, мм"",""value"":""20""}]","Колесо зубчатое 1М63Б.08.167 для гитары станка 1М63Б, z=73, m=2,","Купить колесо зубчатое 1М63Б.08.167 для гитары станка 1М63Б (1М63, ДИП-300). Сменное колесо, z=73, модуль 2. ТД РУССтанкоСбыт.","[{""spare_part_id"":""0ed71850-8961-4f58-96be-f3e66394913b""},{""spare_part_id"":""0ed71850-8961-4f58-96be-f3e66394913b""},{""spare_part_id"":""0ed71850-8961-4f58-96be-f3e66394913b""}]"
"Колесо зубчатое 16М50.70.156","koleso-zubcatoe-16m50-70-156","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""110""},{""key"":""Число зубьев, z"",""value"":""34""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 16М50.70.156 для коробки подач станка 1Н65, z=34, m=2,5","Купить колесо зубчатое 16М50.70.156 для коробки подач 1Н65 (ДИП-500), РТ817, РТ117. Позиция 110, z=34, модуль 2,5. ТД РУССтанкоСбыт.","[{""spare_part_id"":""0f3ce7cd-a092-4553-af62-7c8207a754cd""},{""spare_part_id"":""0f3ce7cd-a092-4553-af62-7c8207a754cd""},{""spare_part_id"":""0f3ce7cd-a092-4553-af62-7c8207a754cd""}]"
"Вал 1Н65.50.158","val-1n65-50-158","[{""key"":""Применимость:"",""value"":""Каретка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""B31""},{""key"":""Длина, мм"",""value"":""1212""}]","Вал 1Н65.50.158 для каретки токарного станка 1Н65 (ДИП-500)","Купить вал 1Н65.50.158 для каретки станка 1Н65 (ДИП-500), РТ117, РТ817. Позиция B31, длина 1212 мм. ТД РУССтанкоСбыт.","[{""spare_part_id"":""0f7ecfed-ff39-4877-9d18-c54d48c97b59""},{""spare_part_id"":""0f7ecfed-ff39-4877-9d18-c54d48c97b59""},{""spare_part_id"":""0f7ecfed-ff39-4877-9d18-c54d48c97b59""}]"
"Колесо зубчатое 1Н65.08.158","koleso-zubcatoe-1n65-08-158","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""h""},{""key"":""Число зубьев, z"",""value"":""88""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""25""}]","Колесо зубчатое 1Н65.08.158 для коробки подач станка 1Н65, z=88, m=2,5","Купить колесо зубчатое 1Н65.08.158 для коробки подач станка 1Н65 (ДИП-500), РТ817, РТ117. Позиция h/17, z=88, модуль 2,5. ТД РУССтанкоСбыт.","[{""spare_part_id"":""11c4d454-ea3a-4c96-924e-141457d89b98""},{""spare_part_id"":""11c4d454-ea3a-4c96-924e-141457d89b98""},{""spare_part_id"":""11c4d454-ea3a-4c96-924e-141457d89b98""}]"
"Муфта обгонная 1Н65.60.900 для фартука станка 1М65 (ДИП-500)","mufta-obgonnyaya-1m65-60-900","[{""key"":""Применимость:"",""value"":""Фартук""}]","Муфта обгонная 1Н65.60.900 для фартука станка 1М65 (ДИП-500)","Купить муфту обгонную 1Н65.60.900 (1М65.60.900) для фартука станка 1М65, 1Н65, 165 (ДИП-500), 1А64. В сборе. ТД РУССтанкоСбыт.","[{""spare_part_id"":""1255a253-bcd4-49c8-a633-82571c205c7a""},{""spare_part_id"":""1255a253-bcd4-49c8-a633-82571c205c7a""},{""spare_part_id"":""1255a253-bcd4-49c8-a633-82571c205c7a""},{""spare_part_id"":""1255a253-bcd4-49c8-a633-82571c205c7a""},{""spare_part_id"":""1255a253-bcd4-49c8-a633-82571c205c7a""}]"
"Колесо зубчатое 1А64.06.393","koleso-zubcatoe-1a64-06-393","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""128""},{""key"":""Число зубьев, z"",""value"":""41""},{""key"":""Ширина обода, мм"",""value"":""20""}]","Колесо зубчатое 1А64.06.393 для фартука станка 1А64, z=41, m=3,5","Купить колесо зубчатое 1А64.06.393 для фартука станка 1А64, 1Н65 (ДИП-500), РТ817. Позиция 128, z=41, модуль 3,5. ТД РУССтанкоСбыт","[{""spare_part_id"":""13044ef8-7199-481c-8ae1-369c50103c79""},{""spare_part_id"":""13044ef8-7199-481c-8ae1-369c50103c79""},{""spare_part_id"":""13044ef8-7199-481c-8ae1-369c50103c79""}]"
"Ось 1М63.08.189","ose-1m63-08-189","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В14""}]","Ось 1М63.08.189 для коробки подач станка 1М63","Купить ось 1М63.08.189 для коробки подач токарного станка 1М63 (163, ДИП-300). Каталожная запчасть по схеме, позиция B14. ТД РУССтанкоСбыт","[{""spare_part_id"":""130c14b3-7876-446b-92c0-e8d88925468f""},{""spare_part_id"":""130c14b3-7876-446b-92c0-e8d88925468f""},{""spare_part_id"":""130c14b3-7876-446b-92c0-e8d88925468f""},{""spare_part_id"":""130c14b3-7876-446b-92c0-e8d88925468f""}]"
"Колесо зубчатое 1М63.21.235","koleso-zubcatoe-1m63-21-235","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""28""},{""key"":""Число зубьев, z"",""value"":""24""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 1М63.21.235 для шпиндельной бабки станка 1М63, z=24 m=3","Купить колесо зубчатое 1М63.21.235 для шпиндельной бабки токарного станка 1М63 (ДИП-300, 163). Z=24, m=3, позиция 168 по схеме. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""13975e1d-89af-43cd-a3d9-38b3936404af""},{""spare_part_id"":""13975e1d-89af-43cd-a3d9-38b3936404af""},{""spare_part_id"":""13975e1d-89af-43cd-a3d9-38b3936404af""}]"
"Шарико-винтовая пара (ШВП) 2С150ПМФ4.27.040","sarjko-vjntovaa-para-svp-2s150pmf4-27-040","[{""key"":""Устанавливается на станке:"",""value"":""2С150ПМФ4 и СС2ВПМФ4""},{""key"":""Общая длина, мм"",""value"":""1410/1476""},{""key"":""Длина резьбы, мм"",""value"":""1039/1164""},{""key"":""Шаг резьбы, мм"",""value"":""10""}]","Шарико-винтовая пара 2С150ПМФ4.27.040 для станка 2С150ПМФ4, d50 шаг 10","Купить шарико-винтовую пару 2С150ПМФ4.27.040 (ШВП) для привода подачи станка 2С150ПМФ4 (СС2ВПМФ4). Диаметр 50 мм, шаг 10 мм, L≈1476/1164 мм. Запчасть ТД РУССтанкоСбыт.","[]"
"Вал 16К40.20.188","val-16k40-20-188","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""}]","Вал 16К40.20.188 для шпиндельной бабки станка 16К40","Купить вал 16К40.20.188 для шпиндельной бабки (коробки скоростей) токарного станка 16К40 и 16Р40. Каталожная запчасть для привода шпинделя. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""13f3a752-5c3c-457e-8bea-16eda54acc92""}]"
"Колесо зубчатое 1Н65.60.151/1","koleso-zubcatoe-1n65-60-151-1","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""132""},{""key"":""Число зубьев, z"",""value"":""52""},{""key"":""Модуль, m"",""value"":""3,5""},{""key"":""Ширина обода, мм"",""value"":""19,5""}]","Колесо зубчатое 1Н65.60.151/1 для фартука станка 1Н65, z=52 m3,5","Купить колесо зубчатое 1Н65.60.151/1 для фартука токарного станка 1Н65 (ДИП-500, 165, 1М65), а также РТ117 и РТ817. Z=52, m=3,5, позиция 132 по схеме. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""148c9b71-eb10-424d-9901-cbd85d343eec""},{""spare_part_id"":""148c9b71-eb10-424d-9901-cbd85d343eec""},{""spare_part_id"":""148c9b71-eb10-424d-9901-cbd85d343eec""}]"
