ID_товара	Название	Описание	Ключевые_слова	Цена	Валюта	Единица_измерения	Наличие	Тип_опт_розница	Рубрика	Фотография	Артикул	Производитель	Страна_производитель
1528302	Головка револьверная 8 позиций	Револьверная головка на 8 позиций с механической фиксацией; точная повторная установка инструмента для серийной обработк...	All	189000	руб	шт.	под заказ	опт и розница	revolvernye-golovki		RH-8P-MECH		
1528301	Головка револьверная 4 позиции	Револьверная головка на 4 инструмента с ручной индексацией; ускоряет переналадку на мелкосерийных работах....	All	129000	руб	шт.	под заказ	опт и розница	revolvernye-golovki		RH-4P-MAN		
1528300	ШВП 40?10 класс C7	Надёжная ШВП класса C7 для модернизации подач с умеренными требованиями к точности....	All	54900	руб	шт.	под заказ	опт и розница	shvp-dlya-stankov		BS-40x10-C7		
1528299	ШВП 32?10 класс C5	ШВП класса C5 с корпусной гайкой; сниженный люфт и высокая повторяемость позиционирования оси....	All	58500	руб	шт.	под заказ	опт и розница	shvp-dlya-stankov		BS-32x10-C5H		
1528298	Люнет подвижный 250 мм	Подвижный люнет сопровождает резец по траектории; стабилизирует зону резания и уменьшает вибрации....	All	25900	руб	шт.	под заказ	опт и розница	ljunet-podvizhnyj		L-MOV-250		
1528297	Люнет неподвижный 250 мм	Люнет для поддержки длинных заготовок  до 250 мм; повышает точность и снижает прогиб на проходах....	All	21900	руб	шт.	под заказ	опт и розница	ljunet-nepodvizhnyj		L-FIX-250		
1528296	Шестерня Z=56, m=5	Косозубая шестерня модуля 5; снижает шум и повышает плавность работы трансмиссии подач....	All	7400	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		G-Z56-M5H		
1528295	Шестерня Z=80, m=6	Прямозубая шестерня модуля 6 для привода подач; термообработка 40Х обеспечивает ресурс и стабильность....	All	8900	руб	шт.	под заказ	опт и розница	zapchasti-k-stankam		G-Z80-M6		
1528294	Коробка подач 1К62	Собранная коробка подач; обеспечивает паспортные шаги резьб и подач, минимизирует простой при ремонте....	All	54500	руб	шт.	под заказ	опт и розница	korobka-podach		FB-1K62		
1528293	Задняя бабка 16К20	Задняя бабка с конусом М4 для центровой поддержки; повышает жёсткость схемы и качество обработки длинных заготовок....	All	62500	руб	шт.	под заказ	опт и розница	zadnyaya-babka		TS-16K20-M4		
1528292	Передняя бабка 1К62	Передняя бабка со встроенной коробкой скоростей; восстановление шпиндельной точности и акустики узла....	All	165000	руб	шт.	под заказ	опт и розница	zadnyaya-babka		PH-1K62-ASSY		
1528291	Суппорт в сборе 16К20	Готовый к установке узел суппорта; ускоряет ремонт и восстанавливает точность продольной/поперечной подачи....	All	84500	руб	шт.	под заказ	опт и розница	support-stanka		SUP-16K20-ASSY		
1528290	Гайка маточная 40?7 бронза	Бронзовая маточная гайка под винт 40?7; снижает люфт и возвращает плавность хода продольной подачи....	All	12900	руб	шт.	под заказ	опт и розница	gajka-matochnaya		GM-40x7-BR		
1528289	Винт ходовой 40?7 L=1500	Трапецеидальный ходовой винт продольной подачи; шлифованная поверхность обеспечивает стабильное усилие и ресурс механизм...	All	32500	руб	шт.	под заказ	опт и розница	vint-poperechnoj-podachi		VH-40x7-1500		
1528288	Кулачки твёрдые комплект ?800	Закалённые кулачки для тяжёлых режимов на крупных диаметрах; устойчивость зацепления и износостойкость рабочих граней....	All	23900	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWH-800-M10		
1528287	Кулачки мягкие комплект ?800	Мягкие кулачки под доводку для патронов &#216;800; точное базирование и аккуратный зажим на финишных проходах....	All	18500	руб	шт.	под заказ	опт и розница	kulachki-k-patronu		JWS-800-M10		
1528286	Патрон токарный 4-кулачковый ?1000	Четырёхкулачковый &#216;1000 с независимой настройкой; точное выведение биения крупногабаритных деталей на колесотокарны...	All	289500	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P4-1000-G2675		
1528285	Патрон токарный 3-кулачковый ?1000	Крупногабаритный самоцентрирующий патрон &#216;1000; надёжный зажим колёс и колец; оптимален для модернизации колесотока...	All	275000	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-1000-G2675		
1528284	Патрон токарный 4-кулачковый ?800	Независимый 4-кулачковый &#216;800 для точной центровки несимметричных деталей; подходит для трубонарезных и специальных...	All	198500	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P4-800-G2675		
1528283	Патрон токарный 3-кулачковый ?800	Самоцентрирующий патрон &#216;800 для тяжёлых токарных работ; синхронный зажим, устойчивость биения класса Н; для устано...	All	189000	руб	шт.	под заказ	опт и розница	patron-tokarnyj		P3-800-G2675		
1527341	Ручка с наконечником (капля) М6, М8, М10 для промышленного оборудования	Ручка с наконечником (капля) М6, М8, М10 (пластик) для промышленного оборудования и станков- промышленная фурнитура Испо...	Каталог	6	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		îáîðóäîâàíèÿ		
1527340	Конические шестерни фрезерных станков мод. 676П	Применяется в фрезерных станках в качестве запасной части. Поставляется как в паре. <p><p>Запасные части для станков 1М63,...	Конические шестерни на фрезерный станок, Конические шестерни на фрезерный станок мод. 676П, конические шестерни на заказ	1	руб	шт.	под заказ	опт и розница	stanochnaya-osnastka		676Ï		Россия
1527339	Барабан-копир на фартук станка 16К20	Барабан-копир на фартук станка 16К20 Применяется в фартуке токарно-винторезного станка мод. 16К20 служит для работы вало...	Каталог	16	руб	шт.	в наличии	опт и розница	fartuk-stanka		16Ê20		
1527338	Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400	Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400 Применяются в консоли консольно-фрезерного станка мод . FSS...	Каталог	28	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		400		
1527337	Специальный токарный патронно-центровой с ЧПУ мод. 16М30Ф3 (16К30Ф3) РМЦ 1500-3000мм.	Строим станки по Тех заданию заказчика, изготавливаем запасные части к токарным станкам, специальным станкам с ЧПУ и т.д...	Станок 16М30Ф3, станок с чпу 16М30Ф3	13000000	руб	шт.	в наличии	опт и розница	remont-i-obsluzhivanie-stankov		16Ì30Ô3-1500		
1527336	Чугунные корпуса маточной гайки для станков 1М63,1М63Н в Москве	Чугунные корпуса маточной гайки для станков 1М63, 1М63Н, 16К40, 1Н65, 1М65 и т.д. Применяется в фартуках токарно-винторе...	Каталог	1	руб	шт.	в наличии	опт и розница	stanochnaya-osnastka		Ìîñêâå		
1527335	Винт/гайка суппорта для токарно-винторезных станков мод. 1М65, 1Н65, 165, РТ117, РТ817	Применяется в верхнем суппорте (поворотке) токарно-винторезного станка мод . 1М65, 1Н65, 165, РТ117, РТ817 для осуществл...	Винт/гайка суппорта для токарно-винторезных станков мод. 1М65, 1Н65, 165, РТ117, РТ817 ( поворотка)	1	руб	шт.	в наличии	опт и розница	shpindel-stanka				Россия
1527334	Гайка для горизонтально-расточного станка мод. 2657 (6-ти шлицевое исполнение).	Гайка для горизонтально-расточного станка мод. 2657 (6-ти шлицевое исполнение). Применяется совместно со 6-ти шлицевым в...	Каталог	2657	руб	шт.	в наличии	опт и розница	gajka-matochnaya				
1527333	Помпы подачи СОЖ для станков и промышленного оборудования фирмы Миксан	Помпы подачи СОЖ для станков и промышленного оборудования фирмы Миксан Центробежные, с погружной насосной частью, электр...	Каталог	1	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		Ìèêñàí		
1527332	Магнитная стойка для станков и промышленного оборудования	Магнитная стойка для станков и промышленного оборудования Используется на станках и промышленном оборудования служит для...	Каталог	1	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		îáîðóäîâàíèÿ		
1527331	Кулачки специального колесо-токарного станка UBB-150	Применяются в шпиндельных бабках специальных колесотокарных станков UBB-150, Различают правый и левый кулачок<p>поставляе...	Кулачки, запасные части к токарным станкам	1	руб	шт.	в наличии	опт и розница	kulachki-k-patronu		UBS-150		Россия
1527330	Сверлильный блок для револьверных головок 16М30Ф3	Сверлильный блок для револьверных головок 16М30Ф3 <p>Применяется в резцедержателе (Револьверной головке 16М30Ф3.40.000СБ)...	сверлильные блоки, резцовый блоки, револьверные головки 1П756ДФ3, 16М30Ф3	1	руб	шт.	в наличии	опт и розница	zapchasti-k-stankam		16Ì30Ô3		Россия
